date,open,high,low,close,volume,future_return,label
2026-02-16 16:00:00,67539.53,67974.86,67513.94,67888.7,895.58119,0.006391343478369872,Attendre
2026-02-16 17:00:00,67888.7,68074.12,67600.93,67951.86,501.76328,0.007146088422009295,Attendre
2026-02-16 18:00:00,67951.85,68245.34,67830.82,67860.13,606.24788,0.01051972638425531,Attendre
2026-02-16 19:00:00,67860.13,68130.0,67824.91,67913.43,262.97624,0.009277693675610285,Attendre
2026-02-16 20:00:00,67913.44,68549.14,67827.11,68530.0,457.58536,-0.004652123157741102,Attendre
2026-02-16 21:00:00,68530.0,68933.85,68427.18,68862.88,534.27425,-0.007012921910904794,Attendre
2026-02-16 22:00:00,68862.89,68890.0,68509.07,68591.02,556.75779,-0.009024796540421822,Attendre
2026-02-16 23:00:00,68591.01,68978.88,68538.57,68892.43,348.95355,-0.013303348423041546,Attendre
2026-02-17 00:00:00,68892.43,69042.74,68704.36,68878.27,476.69143,-0.013535037973514782,Attendre
2026-02-17 01:00:00,68878.27,68996.67,68563.16,68618.11,499.89142,-0.006686281507899342,Attendre
2026-02-17 02:00:00,68618.12,69241.5,68387.2,68838.48,625.65656,-0.013492453639301783,Attendre
2026-02-17 03:00:00,68838.48,68860.68,68470.0,68474.9,367.85689,-0.006330348784737198,Attendre
2026-02-17 04:00:00,68474.9,68707.49,68288.0,68481.67,329.69022,-0.007274501337365141,Attendre
2026-02-17 05:00:00,68481.68,68510.76,67892.0,68245.71,633.07748,-0.003929770823689904,Attendre
2026-02-17 06:00:00,68245.71,68519.99,68242.49,68400.0,230.38739,-0.005290497076023324,Attendre
2026-02-17 07:00:00,68400.01,68480.0,68165.02,68388.12,314.74756,-0.005597755867539456,Attendre
2026-02-17 08:00:00,68388.12,68479.17,68130.78,68177.53,285.96667,-0.0033358498027134895,Attendre
2026-02-17 09:00:00,68177.53,68308.37,67992.03,68126.28,404.18575,-0.0010709523549501288,Attendre
2026-02-17 10:00:00,68126.29,68194.46,67704.96,67845.3,504.39951,0.004189825971732674,Attendre
2026-02-17 11:00:00,67845.3,67935.73,67690.0,67854.6,507.67784,0.005384601780866667,Attendre
2026-02-17 12:00:00,67854.6,68299.4,67827.52,67919.49,607.94036,0.0001285345340490031,Attendre
2026-02-17 13:00:00,67919.49,68360.5,67734.36,68136.34,716.87733,-0.0071028176740927365,Attendre
2026-02-17 14:00:00,68136.35,68337.6,66734.3,66875.06,2328.63639,0.008505861527451366,Attendre
2026-02-17 15:00:00,66875.06,67409.99,66621.06,67392.05,2309.0413,0.004334190753953864,Attendre
2026-02-17 16:00:00,67392.06,68158.1,67317.6,67517.36,1448.76651,0.001709190051269691,Attendre
2026-02-17 17:00:00,67517.36,67714.28,66881.08,67244.22,1144.38591,0.002085978542096318,Attendre
2026-02-17 18:00:00,67244.22,68227.41,67127.86,68098.62,824.93415,-0.00992677972035263,Attendre
2026-02-17 19:00:00,68098.63,68235.39,67695.45,67793.32,785.88027,-0.005384011286067712,Attendre
2026-02-17 20:00:00,67793.32,67928.08,67484.16,67753.3,471.88623,-0.0051888247509715045,Attendre
2026-02-17 21:00:00,67753.3,67926.29,67538.0,67680.54,253.25027,-0.0010029470805048262,Attendre
2026-02-17 22:00:00,67680.55,67788.42,67513.42,67527.72,176.97341,0.0020501210465865326,Attendre
2026-02-17 23:00:00,67527.72,67617.46,67394.0,67503.52,240.26836,0.002072188235517053,Attendre
2026-02-18 00:00:00,67503.52,67627.97,67290.3,67302.65,186.99827,-0.008353014331530677,Attendre
2026-02-18 01:00:00,67302.65,67378.26,66892.03,67165.2,545.6883,-0.04075845824921233,Vendre
2026-02-18 02:00:00,67165.21,67421.99,67153.36,67335.04,250.64041,-0.03789230688806298,Vendre
2026-02-18 03:00:00,67335.04,67705.65,67326.98,67629.11,243.56061,-0.039848816582090205,Vendre
2026-02-18 04:00:00,67629.1,67900.0,67500.1,67823.54,328.68469,-0.04445698351929133,Vendre
2026-02-18 05:00:00,67823.55,67938.0,67606.45,67654.8,311.88419,-0.038192412068323335,Vendre
2026-02-18 06:00:00,67654.81,67976.51,67614.91,67850.52,264.75627,-0.03085016887121863,Vendre
2026-02-18 07:00:00,67850.53,68219.81,67702.7,68106.44,528.49446,-0.03153152624039665,Vendre
2026-02-18 08:00:00,68106.44,68476.22,68071.58,68132.82,532.69792,-0.03605281566211415,Vendre
2026-02-18 09:00:00,68132.83,68276.0,68010.11,68157.79,339.37122,-0.025717970022208617,Vendre
2026-02-18 10:00:00,68157.8,68184.41,67731.95,67801.26,395.11187,-0.02185165880398082,Vendre
2026-02-18 11:00:00,67801.26,67805.08,67076.9,67369.75,654.97357,-0.017255815852070165,Attendre
2026-02-18 12:00:00,67369.75,67689.76,67345.0,67458.06,459.50762,-0.01745766184203939,Attendre
2026-02-18 13:00:00,67458.06,67599.7,67051.81,67236.88,549.44565,-0.016422832231358757,Attendre
2026-02-18 14:00:00,67236.89,67362.26,66717.3,67223.76,1553.71672,-0.019341821998650418,Attendre
2026-02-18 15:00:00,67223.77,68347.72,67192.25,67694.01,1767.46696,-0.030045642147658102,Vendre
2026-02-18 16:00:00,67694.01,67706.94,66994.23,67145.34,1029.31402,-0.026519934220304717,Vendre
2026-02-18 17:00:00,67145.35,67486.97,67057.13,67187.39,676.97648,-0.03533594622443285,Vendre
2026-02-18 18:00:00,67187.4,67229.76,66200.0,66359.99,1304.49131,-0.02598704430184524,Vendre
2026-02-18 19:00:00,66360.0,66619.0,65870.0,66177.14,1301.14212,-0.02843942787494293,Vendre
